mode,measure,value,scenario,city,country,continent,mode_distance,mode_duration
car,mean,2.9636,Public Transport,bogota,Colombia,Latin_America,22801882.67514591,1652310.338778689
cycle,mean,41.3137,Public Transport,bogota,Colombia,Latin_America,2641208.5443744664,366834.5200520092
motorcycle,mean,58.6423,Public Transport,bogota,Colombia,Latin_America,12587416.453438034,828119.5035156602
pedestrian,mean,14.6398,Public Transport,bogota,Colombia,Latin_America,7671573.73211213,3068629.492844852
truck,mean,0.5062,Public Transport,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,17.488,Public Transport,bogota,Colombia,Latin_America,10312782.276486596,3435464.0128968614
bus,ub,0.7306,Public Transport,bogota,Colombia,Latin_America,45283398.692066506,5590543.048403272
car,ub,4.6949,Public Transport,bogota,Colombia,Latin_America,22801882.67514591,1652310.338778689
cycle,ub,53.2741,Public Transport,bogota,Colombia,Latin_America,2641208.5443744664,366834.5200520092
motorcycle,ub,73.6516,Public Transport,bogota,Colombia,Latin_America,12587416.453438034,828119.5035156602
pedestrian,ub,18.3188,Public Transport,bogota,Colombia,Latin_America,7671573.73211213,3068629.492844852
truck,ub,1.5362,Public Transport,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,ub,22.0513,Public Transport,bogota,Colombia,Latin_America,10312782.276486596,3435464.0128968614
bus,lb,0.23,Public Transport,bogota,Colombia,Latin_America,45283398.692066506,5590543.048403272
car,lb,1.892,Public Transport,bogota,Colombia,Latin_America,22801882.67514591,1652310.338778689
cycle,lb,32.2903,Public Transport,bogota,Colombia,Latin_America,2641208.5443744664,366834.5200520092
motorcycle,lb,47.0837,Public Transport,bogota,Colombia,Latin_America,12587416.453438034,828119.5035156602
pedestrian,lb,11.7629,Public Transport,bogota,Colombia,Latin_America,7671573.73211213,3068629.492844852
truck,lb,0.1748,Public Transport,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,lb,13.9548,Public Transport,bogota,Colombia,Latin_America,10312782.276486596,3435464.0128968614
bus,mean,0.4189,Baseline,bogota,Colombia,Latin_America,38925779.49918654,4805651.79002303
car,mean,2.7777,Baseline,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,mean,41.0371,Baseline,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,mean,57.8774,Baseline,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,mean,15.0242,Baseline,bogota,Colombia,Latin_America,7612971.589004321,3045188.635601728
truck,mean,0.5116,Baseline,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,18.1816,Baseline,bogota,Colombia,Latin_America,10641876.995831242,3465869.9421054674
