"sex","age_cat","cause","measure","city","scenario","level1","level2","level3","dose","pop_age_sex"
"male","30-34","sc_bus_ylls_pa_ap_all_cause",609.36113,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",321492
"male","35-39","sc_bus_ylls_pa_ap_all_cause",597.36859,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",289808
"male","40-44","sc_bus_ylls_pa_ap_all_cause",398.10005,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",244543
"male","45-49","sc_bus_ylls_pa_ap_all_cause",461.58211,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",215491
"male","50-54","sc_bus_ylls_pa_ap_all_cause",359.02498,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",209137
"male","55-59","sc_bus_ylls_pa_ap_all_cause",394.57047,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",187551
"male","60-64","sc_bus_ylls_pa_ap_all_cause",345.09252,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",146500
"male","65-69","sc_bus_ylls_pa_ap_all_cause",373.06565,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",105412
"female","15-19","sc_bus_ylls_pa_ap_all_cause",29.02974,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",279280
"female","20-24","sc_bus_ylls_pa_ap_all_cause",49.93992,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",360197
"female","25-29","sc_bus_ylls_pa_ap_all_cause",63.43175,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",364423
"female","30-34","sc_bus_ylls_pa_ap_all_cause",84.74403,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",330341
"female","35-39","sc_bus_ylls_pa_ap_all_cause",124.41867,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",309304
"female","40-44","sc_bus_ylls_pa_ap_all_cause",143.59291,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",275440
"female","45-49","sc_bus_ylls_pa_ap_all_cause",139.31907,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",254843
"female","50-54","sc_bus_ylls_pa_ap_all_cause",210.28647,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",256059
"female","55-59","sc_bus_ylls_pa_ap_all_cause",238.9662,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",235548
"female","60-64","sc_bus_ylls_pa_ap_all_cause",215.62569,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",189600
"female","65-69","sc_bus_ylls_pa_ap_all_cause",230.24448,"bogota","Public Transport","L1: All Cause",NA,NA,"PA and AP",141409
"male","15-19","sc_cycle_ylls_pa_ap_all_cause_lb",98.02772,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",282736
"male","20-24","sc_cycle_ylls_pa_ap_all_cause_lb",454.56296,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",357934
"male","25-29","sc_cycle_ylls_pa_ap_all_cause_lb",651.91616,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",360031
"male","30-34","sc_cycle_ylls_pa_ap_all_cause_lb",458.433,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",321492
"male","35-39","sc_cycle_ylls_pa_ap_all_cause_lb",557.26749,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",289808
"male","40-44","sc_cycle_ylls_pa_ap_all_cause_lb",336.48786,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",244543
"male","45-49","sc_cycle_ylls_pa_ap_all_cause_lb",410.46766,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",215491
"male","50-54","sc_cycle_ylls_pa_ap_all_cause_lb",394.17276,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",209137
"male","55-59","sc_cycle_ylls_pa_ap_all_cause_lb",429.54104,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",187551
"male","60-64","sc_cycle_ylls_pa_ap_all_cause_lb",245.98302,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",146500
"male","65-69","sc_cycle_ylls_pa_ap_all_cause_lb",415.49518,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",105412
"female","15-19","sc_cycle_ylls_pa_ap_all_cause_lb",51.14312,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",279280
"female","20-24","sc_cycle_ylls_pa_ap_all_cause_lb",101.03329,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",360197
"female","25-29","sc_cycle_ylls_pa_ap_all_cause_lb",122.34351,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",364423
"female","30-34","sc_cycle_ylls_pa_ap_all_cause_lb",129.20735,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",330341
"female","35-39","sc_cycle_ylls_pa_ap_all_cause_lb",140.80048,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",309304
"female","40-44","sc_cycle_ylls_pa_ap_all_cause_lb",163.67853,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",275440
"female","45-49","sc_cycle_ylls_pa_ap_all_cause_lb",196.38933,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",254843
"female","50-54","sc_cycle_ylls_pa_ap_all_cause_lb",256.72065,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",256059
"female","55-59","sc_cycle_ylls_pa_ap_all_cause_lb",294.54418,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",235548
"female","60-64","sc_cycle_ylls_pa_ap_all_cause_lb",271.03203,"bogota","Bicycling","L1: All Cause",NA,NA,"PA and AP",189600
