mode,measure,value,scenario,city,country,continent,mode_distance,mode_duration
cycle,mean,41.4564,Public Transport,bogota,Colombia,Latin_America,2639788.409347168,366637.27907599555
motorcycle,mean,58.4342,Public Transport,bogota,Colombia,Latin_America,12664241.813595355,833173.8035260102
pedestrian,mean,14.621,Public Transport,bogota,Colombia,Latin_America,7685007.691712811,3074003.076685124
truck,mean,0.5063,Public Transport,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,17.4806,Public Transport,bogota,Colombia,Latin_America,10324796.101059979,3440640.3557611196
bus,ub,0.7284,Public Transport,bogota,Colombia,Latin_America,45376931.151856095,5602090.265661246
car,ub,4.5539,Public Transport,bogota,Colombia,Latin_America,23526969.596016094,1704852.8692765285
cycle,ub,53.4214,Public Transport,bogota,Colombia,Latin_America,2639788.409347168,366637.27907599555
motorcycle,ub,73.3992,Public Transport,bogota,Colombia,Latin_America,12664241.813595355,833173.8035260102
pedestrian,ub,18.2958,Public Transport,bogota,Colombia,Latin_America,7685007.691712811,3074003.076685124
truck,ub,1.5364,Public Transport,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,ub,22.0388,Public Transport,bogota,Colombia,Latin_America,10324796.101059979,3440640.3557611196
bus,lb,0.2291,Public Transport,bogota,Colombia,Latin_America,45376931.151856095,5602090.265661246
car,lb,1.8402,Public Transport,bogota,Colombia,Latin_America,23526969.596016094,1704852.8692765285
cycle,lb,32.4223,Public Transport,bogota,Colombia,Latin_America,2639788.409347168,366637.27907599555
motorcycle,lb,46.9124,Public Transport,bogota,Colombia,Latin_America,12664241.813595355,833173.8035260102
pedestrian,lb,11.7476,Public Transport,bogota,Colombia,Latin_America,7685007.691712811,3074003.076685124
truck,lb,0.1748,Public Transport,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,lb,13.9507,Public Transport,bogota,Colombia,Latin_America,10324796.101059979,3440640.3557611196
bus,mean,0.4189,Baseline,bogota,Colombia,Latin_America,38925779.49918654,4805651.79002303
car,mean,2.7777,Baseline,bogota,Colombia,Latin_America,28185306.86771144,2042413.54113851
cycle,mean,41.0371,Baseline,bogota,Colombia,Latin_America,3028905.406826921,420681.306503739
motorcycle,mean,57.8774,Baseline,bogota,Colombia,Latin_America,14050058.883477107,924345.9791761255
pedestrian,mean,15.0242,Baseline,bogota,Colombia,Latin_America,7612971.589004321,3045188.635601728
truck,mean,0.5116,Baseline,bogota,Colombia,Latin_America,6761083.388006915,834701.65284036
active_travel,mean,18.1816,Baseline,bogota,Colombia,Latin_America,10641876.995831242,3465869.9421054674
