str_mode,measure,value,cas_mode,city,scenario,country,continent,mode_distance
nov,ub,72.84,motorcycle,bogota,Baseline predicted,Colombia,Latin_America,14050058.883477107
nov,lb,39.1,motorcycle,bogota,Baseline predicted,Colombia,Latin_America,14050058.883477107
bus,mean,39.93,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
bus,ub,49.09,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
bus,lb,32.5,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
car,mean,51.92,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
car,ub,63.51,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
car,lb,42.47,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
cycle,mean,1.66,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
cycle,ub,2.75,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
cycle,lb,1,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
motorcycle,mean,36.17,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
motorcycle,ub,45.14,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
motorcycle,lb,28.99,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
truck,mean,33.08,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
truck,ub,40.82,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
truck,lb,26.83,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
nov,mean,4.23,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
nov,ub,7.69,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
nov,lb,2.35,pedestrian,bogota,Baseline predicted,Colombia,Latin_America,7612971.589004321
bus,mean,0.13,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
bus,ub,0.55,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
bus,lb,0.03,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
car,mean,0.17,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
car,ub,0.73,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
car,lb,0.04,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
cycle,mean,0.01,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
cycle,ub,0.03,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
cycle,lb,0,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
motorcycle,mean,0.13,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
motorcycle,ub,0.55,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
motorcycle,lb,0.03,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
truck,mean,0,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
truck,ub,0,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
truck,lb,0,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
nov,mean,1.11,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
nov,ub,2.89,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
nov,lb,0.43,truck,bogota,Baseline predicted,Colombia,Latin_America,6761083.388006915
bus,mean,0,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
bus,ub,0,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
bus,lb,0,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
car,mean,0.59,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
car,ub,1.28,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
car,lb,0.27,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
cycle,mean,0.04,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
cycle,ub,0.1,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
cycle,lb,0.02,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
motorcycle,mean,0.45,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
motorcycle,ub,0.98,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
motorcycle,lb,0.2,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
truck,mean,0.44,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
truck,ub,0.96,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
truck,lb,0.2,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
nov,mean,5.61,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
nov,ub,9.54,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
nov,lb,3.33,bus,bogota,Bicycling,Colombia,Latin_America,37515223.615491435
bus,mean,1.9,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
bus,ub,2.92,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
bus,lb,1.23,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
car,mean,0,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
car,ub,0,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
car,lb,0,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
cycle,mean,0.18,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
cycle,ub,0.33,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
cycle,lb,0.09,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
motorcycle,mean,1.91,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
motorcycle,ub,2.96,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
motorcycle,lb,1.24,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
